  ◆  swag        run • workspace [consumer_exe] • devmode
  ✓  module      win32 • 31 files • 1 s 521 ms
  ✓  module      xinput • 28 files • 1 s 290 ms
  ✓  module      core • 349 files • core.dll • 57 s 532 ms
  ✓  workspace   std [2 roots] • 3 modules • 1 min 7 s
  ✓  module      api_export_provider • 31 files • 2 s 260 ms
  ✓  module      api_static_provider • 28 files • api_static_provider.lib • 2 s 243 ms
  ✓  module      runtime_context_base_static • 20 files • runtime_context_base_static.lib • 1 s 878 ms
  ✓  module      runtime_context_bridge_dll • 24 files • runtime_context_bridge_dll.dll • 2 s 577 ms
  ✓  module      runtime_context_direct_static • 20 files • runtime_context_direct_static.lib • 1 s 913 ms
  ✓  module      consumer_exe • 64 files • consumer_exe.exe • 5 s 684 ms
SWAG_WORKSPACE_MAIN_RAN
  ✓  workspace   workspace [consumer_exe] • 6 modules • 1 min 34 s
  ✓  clean       1 min 34 s
