  ◆  swag        run • workspace [consumer_exe] • devmode
  ✓  module      win32 • 31 files • 159 ms
  ✓  module      xinput • 28 files • 173 ms
  ✓  module      core • 349 files • core.dll • 10 s 516 ms
  ✓  workspace   std [2 roots] • 3 modules • 11 s 503 ms
  ✓  module      api_export_provider • 31 files • 177 ms
  ✓  module      api_static_provider • 28 files • api_static_provider.lib • 324 ms
  ✓  module      runtime_context_base_static • 20 files • runtime_context_base_static.lib • 241 ms
  ✓  module      runtime_context_bridge_dll • 24 files • runtime_context_bridge_dll.dll • 295 ms
  ✓  module      runtime_context_direct_static • 20 files • runtime_context_direct_static.lib • 267 ms
  ✓  module      consumer_exe • 64 files • consumer_exe.exe • 846 ms
SWAG_WORKSPACE_MAIN_RAN
  ✓  workspace   workspace [consumer_exe] • 6 modules • 14 s 676 ms
  ✓  clean       14 s 679 ms
