  ◆  swag        run • workspace [consumer_exe] • devmode
  ✓  module      win32 • 31 files • 140 ms
  ✓  module      xinput • 28 files • 145 ms
  ✓  module      core • 349 files • core.dll • 9 s 546 ms
  ✓  workspace   std [2 roots] • 3 modules • 10 s 515 ms
  ✓  module      api_export_provider • 31 files • 204 ms
  ✓  module      api_static_provider • 28 files • api_static_provider.lib • 249 ms
  ✓  module      runtime_context_base_static • 20 files • runtime_context_base_static.lib • 225 ms
  ✓  module      runtime_context_bridge_dll • 24 files • runtime_context_bridge_dll.dll • 312 ms
  ✓  module      runtime_context_direct_static • 20 files • runtime_context_direct_static.lib • 256 ms
  ✓  module      consumer_exe • 64 files • consumer_exe.exe • 766 ms
SWAG_WORKSPACE_MAIN_RAN
  ✓  workspace   workspace [consumer_exe] • 6 modules • 13 s 593 ms
  ✓  clean       13 s 596 ms
