  ◆  swag        run • workspace [consumer_exe] • devmode
  ✓  module      win32 • 31 files • 84 ms
  ✓  module      xinput • 28 files • 87 ms
  ✓  module      core • 349 files • core.dll • 1 s 873 ms
  ✓  workspace   std [2 roots] • 3 modules • 2 s 440 ms
  ✓  module      api_export_provider • 31 files • 79 ms
  ✓  module      api_static_provider • 28 files • api_static_provider.lib • 162 ms
  ✓  module      runtime_context_base_static • 20 files • runtime_context_base_static.lib • 157 ms
  ✓  module      runtime_context_bridge_dll • 24 files • runtime_context_bridge_dll.dll • 177 ms
  ✓  module      runtime_context_direct_static • 20 files • runtime_context_direct_static.lib • 150 ms
  ✓  module      consumer_exe • 64 files • consumer_exe.exe • 499 ms
SWAG_WORKSPACE_MAIN_RAN
  ✓  workspace   workspace [consumer_exe] • 6 modules • 4 s 289 ms
  ✓  clean       4 s 292 ms
