  ◆  swag        run • workspace [consumer_exe] • devmode
  ✓  module      win32 • 31 files • 358 ms
  ✓  module      xinput • 28 files • 401 ms
  ✓  module      core • 349 files • core.dll • 29 s 932 ms
  ✓  workspace   std [2 roots] • 3 modules • 32 s 638 ms
  ✓  module      api_export_provider • 31 files • 618 ms
  ✓  module      api_static_provider • 28 files • api_static_provider.lib • 667 ms
  ✓  module      runtime_context_base_static • 20 files • runtime_context_base_static.lib • 574 ms
  ✓  module      runtime_context_bridge_dll • 24 files • runtime_context_bridge_dll.dll • 789 ms
  ✓  module      runtime_context_direct_static • 20 files • runtime_context_direct_static.lib • 679 ms
  ✓  module      consumer_exe • 64 files • consumer_exe.exe • 2 s 125 ms
SWAG_WORKSPACE_MAIN_RAN
  ✓  workspace   workspace [consumer_exe] • 6 modules • 40 s 412 ms
  ✓  clean       40 s 416 ms
